time,weight
26.466,10.8
26.514,15.7
26.611,23.3
26.709,29.6
26.806,32.7
26.903,34
27.001,34.2
27.096,34
27.147,34.2
27.294,34.1
27.342,33.7
27.44,34
27.536,34.8
27.636,35.4
27.684,35.7
27.781,35.9
27.879,36.3
27.976,36.3
28.072,36.1
28.171,36
28.268,36.4
28.328,36.8
28.414,36.8
28.511,36.1
28.609,35.8
28.707,35.5
28.82,35.1
28.9,34.6
28.949,34.4
29.047,34.3
29.144,34.1
29.243,33.5
29.341,33.1
29.438,32.9
29.484,32.5
29.585,32.4
29.681,32.9
29.78,33.1
29.878,32.8
29.975,32.2
30.073,32.4
30.121,32.5
30.218,32.3
30.316,32
30.413,32
30.511,32.3
30.609,32.2
30.704,32.1
30.753,31.8
30.852,31.4
30.949,31.3
31.047,31.3
31.144,31.7
31.242,31.6
31.29,31.9
31.388,32.2
31.486,32.3
31.583,32.5
31.682,32.4
31.779,32.3
31.874,32.1
31.923,31.7
32.022,31.6
32.119,31.6
32.216,31.4
32.314,31.3
32.412,31.1
32.511,30.8
32.561,30.3
32.654,30
32.755,29.9
32.851,30.6
32.946,30.6
33.047,30.2
33.092,29.9
33.191,29.1
33.29,28.4
33.387,28.3
33.483,28.2
33.581,28.6
33.68,28.9
33.729,28.9
33.825,29
33.923,28.9
34.022,28.9
34.117,29
34.215,29.1
34.267,29.2
34.362,29.2
34.458,29.2
34.557,29.2
34.653,29
34.753,28.7
34.848,28.6
34.898,28.4
34.996,28.3
35.093,28.2
35.191,28
35.289,27.2
35.386,25.1
35.432,20.6
35.532,12.5
35.63,4.7
35.726,0.8
35.823,0
35.92,0
36.018,0
36.066,0
36.163,0
36.262,0
36.36,0
36.458,0.1
36.556,3
36.652,9.3
36.701,15.1
36.799,18
36.897,23.9
36.994,29.3
37.092,31.1
37.188,31.5
37.238,31.8
37.385,32.3
37.454,33.5
37.529,34.1
37.626,34.7
37.724,34.9
37.821,35.1
37.87,34.9
37.967,34.5
38.066,34.4
38.164,34.2
38.261,34.4
38.358,35.1
38.455,34.9
38.506,34.6
38.601,34.5
38.699,34.6
38.797,34.6
38.894,34.3
38.991,34.2
39.042,34.3
39.138,34.4
39.236,34.4
39.334,34.5
39.429,34.3
39.53,34
39.627,34
39.676,33.8
39.772,33.3
39.87,33.3
39.966,33.5
40.066,33.2
40.161,33.1
40.211,33.1
40.31,33
40.456,32.7
40.513,32.7
40.601,32.7
40.698,32.6
40.795,32.5
40.846,31.8
40.943,31.9
41.041,32.3
41.137,32.2
41.235,32.4
41.333,32.4
41.431,32.2
41.479,32.1
41.578,32
41.672,32.1
41.771,33.1
41.87,33.9
41.966,33.7
42.018,33.1
42.113,32.8
42.21,32.1
42.309,31.1
42.406,31.1
42.502,31.5
42.601,31
42.65,30.8
42.745,30.8
42.846,30.7
42.941,30.5
43.04,30.3
43.136,30
43.186,29.6
43.281,29.3
43.381,29.5
43.525,29.2
43.576,28.6
43.674,29.1
43.77,29.5
43.82,29.4
43.916,29.5
44.014,29.7
44.112,29.7
44.209,29.9
44.307,30.5
44.405,30.3
44.452,29.3
44.55,29.2
44.647,29.6
44.744,29.5
44.842,29
44.948,28.8
45.037,28.4
45.086,27.9
45.182,27.8
45.28,27
45.378,23.7
45.478,16.5
45.573,7.2
45.621,1.7
45.719,0
45.816,0
45.914,0
46.011,0
46.109,0
46.208,0
46.264,0
46.352,0
46.451,0
46.549,0
46.646,0
46.743,0
46.796,0
46.89,0
46.986,0
47.085,0
47.182,3.2
47.282,10.7
47.378,18.6
47.426,24.1
47.523,27
47.622,26.7
47.718,27
47.817,28.6
47.914,28.8
48.013,28.5
48.061,29.3
48.157,29.9
48.256,29.6
48.353,29.5
48.45,29.9
48.549,30.1
48.595,29.8
48.693,29.4
48.793,29.7
48.888,30.1
48.987,30.2
49.084,30.3
49.181,30.5
49.237,30.6
49.328,30.6
49.426,30.7
49.522,30.5
49.62,30.3
49.717,30.3
49.815,30.3
49.865,29.8
49.96,29
50.059,29.3
50.155,29.7
50.252,29.4
50.352,29.1
50.409,29.3
50.497,29.5
50.594,29.3
50.691,29.3
50.789,29.6
50.887,29.4
50.983,29.4
51.033,29.5
51.13,29.3
51.228,28.7
51.329,28.3
51.423,27.8
51.522,27.6
51.571,28.1
51.667,28.5
51.766,28.3
51.863,28.5
51.962,28.7
52.058,28.7
52.154,28.8
52.204,28.9
52.3,28.9
52.399,28.8
52.497,28.7
52.592,28.9
52.692,28.9
52.789,28.9
52.836,28.8
52.935,28.6
53.033,28.6
53.129,28.3
53.227,27.5
53.324,27.2
53.373,27.8
53.47,27.6
53.568,27.3
53.666,27.3
